Id,Label,Role,Location,Sentiment,Group,Color_Hex,Raw_Relation
448919,杜秀芝,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
449124,楊燕,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
449183,郄昂,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
449325,趙國珍,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
449518,呂杲,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
450346,鄭灌,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
450637,釋僧晏,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
512546,梁昌,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
512623,李青,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
512628,李耑,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
512629,黃鐘,Alter (关联人),长安,惜别,文学山水,#27ae60,為Y作臨別贈言(送別詩、序)
